% -----------------------------------------------------------------------
%   Program Name: pe-ss-cs-97.dat 
%   Author: the Geant4 Collaboration
%   Organization: the Geant4 Collaboration
%   Version: unknown
%   Date: circa 2006
%   Class: Public
%   Copyright (c) Copyright Holders of the Geant4 Collaboration, 1994-2006.
%   See http://cern.ch/geant4/license for details on the copyright holders.
%   All rights not expressly granted under this license are reserved.
% -----------------------------------------------------------------------
0.13221   0.0 
0.13221  1158.29
0.1344  1111.11
0.1353  1095.15
0.1365  1068.78
0.1385  1035.28
0.1425  961.88
0.15  850.816
0.16788  641.698
0.190546  468.811
0.226464  304.796
0.278612  182.58
0.319889  130.431
0.375837  88.7047
0.436516  62.4593
0.49545  46.7707
0.568853  34.3672
0.653131  25.4453
0.749894  18.987
0.860994  14.2804
0.977237  11.0764
1.20226  7.38548
1.34896  5.93285
1.53109  4.69657
1.7378  3.74862
1.99526  2.95496
2.29087  2.34757
2.63027  1.87938
3.01995  1.51541
3.50752  1.20929
4.12097  0.956047
4.84172  0.761616
5.68853  0.611235
6.76083  0.486511
8.1283  0.384252
10  0.29716
12.4451  0.228466
15.4882  0.177007
20  0.13234
25.4097  0.101508
31.9889  0.0789946
45.7088  0.0539687
69.1831  0.0349714
116.145  0.020511
231.739  0.0101596
462.381  0.0050637
1840.77  0.00126606
100000  2.3277e-05
-1  -1
0.025294   0.0 
0.025294  3900.59
0.0255  3822.79
0.0264  3603.86
0.0269154  3496.17
0.0277  3316.18
0.029  3076.68
0.0358922  2091.67
0.0398107  1717.26
0.049  1138.94
0.055  897.688
0.0623735  690.151
0.075  463.53
0.0881049  324.236
0.101158  237.158
0.11885  163.673
0.142889  106.406
0.190546  53.8171
0.275423  22.4306
0.334965  14.1846
0.402717  9.27819
0.473151  6.44288
0.54325  4.74493
0.630957  3.43154
0.732824  2.5002
0.851138  1.83535
0.966051  1.42226
1.1885  0.94784
1.33352  0.760927
1.51356  0.601897
1.71791  0.480054
1.94985  0.385658
2.23872  0.30603
2.5704  0.244697
2.95121  0.19707
3.42768  0.157077
4  0.12526
4.67735  0.100307
5.49541  0.0803768
6.53131  0.0638819
7.85236  0.0503835
9.66051  0.038911
12.0226  0.029876
15  0.023054
19.4984  0.0170924
25.1189  0.0129018
31.9889  0.00991529
45.7088  0.00677412
69.1831  0.00438961
114.815  0.00260511
229.087  0.00129012
457.088  0.000642993
1819.7  0.000160759
100000  2.9217e-06
-1  -1
0.024503   0.0 
0.024503  8242.08
0.0248  8055.8
0.0251189  7831.5
0.0260016  7218.8
0.0282  5940.5
0.0346737  3551.7
0.0384592  2721.8
0.0462381  1681.6
0.057544  936.05
0.0724436  499.28
0.0933254  247.66
0.186209  36.028
